"PolyID","imd_rank","imd_national_decile","nation"
"E01000498",1933,1,"England"
"E01000499",2823,1,"England"
"E01000501",5012,2,"England"
"E01000502",5431,2,"England"
"E01000503",5493,2,"England"
"E01000504",11117,4,"England"
"E01000505",12513,4,"England"
"E01000506",3392,2,"England"
"E01000507",11060,4,"England"
"E01000508",3133,1,"England"
"E01000509",2207,1,"England"
"E01000510",1482,1,"England"
"E01000511",4419,2,"England"
"E01000512",10867,4,"England"
"E01000513",12703,4,"England"
"E01000514",14186,5,"England"
"E01000515",7343,3,"England"
"E01000516",13265,4,"England"
"E01000517",17692,6,"England"
"E01000518",13012,4,"England"
"E01000519",8909,3,"England"
"E01000520",9522,3,"England"
"E01000521",721,1,"England"
"E01000522",5134,2,"England"
"E01000523",2961,1,"England"
"E01000524",799,1,"England"
"E01000525",3505,2,"England"
"E01000526",1995,1,"England"
"E01000527",1822,1,"England"
"E01000528",3308,1,"England"
"E01000530",18923,6,"England"
"E01000531",6884,3,"England"
"E01000532",11306,4,"England"
"E01000533",1629,1,"England"
"E01000534",16063,5,"England"
"E01000535",6850,3,"England"
"E01000536",21873,7,"England"
"E01000538",26737,8,"England"
"E01000539",21521,7,"England"
"E01000540",26236,8,"England"
"E01000541",13884,5,"England"
"E01000543",14300,5,"England"
"E01000544",8415,3,"England"
"E01000545",5922,2,"England"
"E01000546",7206,3,"England"
"E01000547",13825,5,"England"
"E01000548",5926,2,"England"
"E01000549",17338,6,"England"
"E01000550",6438,2,"England"
"E01000551",7611,3,"England"
"E01000552",9483,3,"England"
"E01000553",5668,2,"England"
"E01000554",9835,3,"England"
"E01000555",13555,5,"England"
"E01000556",3978,2,"England"
"E01000557",7634,3,"England"
"E01000558",8576,3,"England"
"E01000559",11535,4,"England"
"E01000560",12165,4,"England"
"E01000561",10854,4,"England"
"E01000562",22649,7,"England"
"E01000563",26295,8,"England"
"E01000564",10455,4,"England"
"E01000565",10327,4,"England"
"E01000566",18128,6,"England"
"E01000567",12830,4,"England"
"E01000568",22102,7,"England"
"E01000569",24102,8,"England"
