"TownsNM","region","town_area_ha","current_can_ha","current_can_prop","n_trees_plantable","n_trees_plantable_npg","n_trees_plantable_pub","gained_can_ha","gained_can_npg_ha","gained_can_pub_ha","potential_can_ha","potential_can_npg_ha","potential_can_pub_ha","potential_can_prop","potential_can_npg_prop","potential_can_pub_prop","shortfall_prop","shortfall_npg_prop","shortfall_pub_prop"
"Wandsworth","GrLondEng",3424.79069059,669.556534,0.1955,120008,27896,24588,384.0256,89.2672,78.6816,1053.5821,758.8237,748.2381,0.3076,0.2216,0.2185,-0.1076,-0.0216,-0.0185
"Warrington","NWEng",7029.78046343,1385.187715,0.197,254630,71881,68452,814.816,230.0192,219.0464,2200.0037,1615.2069,1604.2341,0.313,0.2298,0.2282,-0.113,-0.0298,-0.0282
"Watford","EastEng",4839.32860876,1151.754555,0.238,174434,46817,43644,558.1888,149.8144,139.6608,1709.9434,1301.569,1291.4154,0.3533,0.269,0.2669,-0.1533,-0.069,-0.0669
"West Bromwich","WMidlandEng",2878.02071907,456.100586,0.1585,112257,35080,33196,359.2224,112.256,106.2272,815.323,568.3566,562.3278,0.2833,0.1975,0.1954,-0.0833,0.0025,0.00460000000000002
"Westminster","GrLondEng",2146.39939418,359.434703,0.1675,56304,34068,33333,180.1728,109.0176,106.6656,539.6075,468.4523,466.1003,0.2514,0.2183,0.2172,-0.0514,-0.0183,-0.0172
"Weston-Super-Mare","SWEng",2976.37445139,513.592081,0.1726,112564,22810,21234,360.2048,72.992,67.9488,873.7969,586.5841,581.5409,0.2936,0.1971,0.1954,-0.0936,0.00290000000000001,0.00460000000000002
"Wigan","NWEng",3148.1539251,562.188907,0.1786,116404,33361,32340,372.4928,106.7552,103.488,934.6817,668.9441,665.6769,0.2969,0.2125,0.2114,-0.0969,-0.0125,-0.0114
"Woking","SEEng",6301.62312995,1897.0996,0.301,183842,35793,28289,588.2944,114.5376,90.5248,2485.394,2011.6372,1987.6244,0.3944,0.3192,0.3154,-0.1944,-0.1192,-0.1154
"Wolverhampton","WMidlandEng",6392.0271671,1021.651086,0.1598,328046,56061,51281,1049.7472,179.3952,164.0992,2071.3983,1201.0463,1185.7503,0.3241,0.1879,0.1855,-0.1241,0.0121,0.0145
"Worcester","WMidlandEng",3328.84901797,514.93861,0.1547,144779,25970,23035,463.2928,83.104,73.712,978.2314,598.0426,588.6506,0.2939,0.1797,0.1768,-0.0939,0.0203,0.0232
"Worthing","SEEng",3614.79296912,356.87358,0.0987,167814,25306,21490,537.0048,80.9792,68.768,893.8784,437.8528,425.6416,0.2473,0.1211,0.1177,-0.0473,0.0789,0.0823
"York","YorkHumberEng",5167.97476901,629.593704,0.1218,182142,39245,34720,582.8544,125.584,111.104,1212.4481,755.1777,740.6977,0.2346,0.1461,0.1433,-0.0346,0.0539,0.0567
